transaction_id,customer_id,transaction_date,total_amount,quantity,num_products,promotion_used
T104,5,2023-04-28,852.52,3,3,0
T92,5,2023-05-22,1498.95,6,4,0
T98,5,2023-05-24,669.38,4,5,0
T91,5,2023-06-13,152.85,3,2,1
T101,5,2023-06-21,50.0,6,2,1
T108,5,2023-06-23,1690.5,5,3,0
T97,5,2023-06-24,887.61,2,1,1
T113,6,2023-01-12,3185.94,6,4,0
T110,6,2023-01-28,96.13,5,4,1
T111,6,2023-03-22,410.57,4,5,0
T112,6,2023-04-09,210.97,5,2,1
T115,6,2023-04-21,1204.19,1,3,1
T114,6,2023-05-14,1981.06,5,2,1
T116,6,2023-06-19,2461.82,1,3,1
T132,7,2023-01-13,301.4,5,2,0
T125,7,2023-01-24,310.42,2,3,0
T140,7,2023-02-05,4281.36,2,2,1
T118,7,2023-02-19,247.79,4,4,0
T126,7,2023-02-20,668.47,2,1,0
T121,7,2023-02-23,1976.82,4,5,1
T127,7,2023-03-04,2044.6,4,5,0
T130,7,2023-03-04,857.85,2,1,0
T139,7,2023-03-11,542.37,3,3,0
T124,7,2023-03-14,139.91,5,5,1
T117,7,2023-03-25,1953.56,4,3,0
T144,7,2023-04-10,429.52,5,1,1
T146,7,2023-04-10,50.0,4,5,0
T142,7,2023-04-17,348.07,4,3,1
T143,7,2023-04-17,825.19,1,2,1
T131,7,2023-04-19,648.33,2,2,1
T138,7,2023-04-23,1456.9,1,3,0
T134,7,2023-04-24,494.29,5,5,1
T136,7,2023-04-26,468.46,3,2,1
T128,7,2023-04-27,2365.61,4,5,0
T133,7,2023-04-27,153.22,2,4,1
T122,7,2023-04-30,2717.09,4,4,0
T145,7,2023-05-03,402.3,1,3,1
T147,7,2023-05-05,1128.59,2,3,1
T123,7,2023-05-11,459.28,4,2,0
T137,7,2023-05-14,877.74,4,2,1
T120,7,2023-05-21,930.12,1,3,1
T135,7,2023-05-21,3435.75,4,2,1
T119,7,2023-06-07,2676.98,5,3,1
T141,7,2023-06-27,3938.41,2,2,0
T129,7,2023-06-28,50.0,4,4,1
T169,8,2023-01-04,50.0,4,4,0
T156,8,2023-01-05,332.57,6,5,0
T148,8,2023-01-08,838.22,4,3,1
T158,8,2023-01-08,1720.67,2,2,0
T151,8,2023-01-22,2866.63,6,4,0
T180,8,2023-01-22,177.53,2,4,1
T166,8,2023-01-27,2164.37,6,3,0
T163,8,2023-02-11,1204.61,3,1,0
T149,8,2023-02-12,63.42,4,2,0
T162,8,2023-02-12,1200.6,5,5,0
T177,8,2023-02-16,1409.06,4,2,1
T165,8,2023-02-20,113.55,1,5,0
T183,8,2023-02-26,3103.43,4,2,1
T178,8,2023-03-08,586.75,3,3,1
T164,8,2023-03-21,920.86,5,4,1
T174,8,2023-03-24,308.19,2,1,1
T154,8,2023-03-25,806.73,3,4,1
T176,8,2023-03-28,229.93,1,4,1
T157,8,2023-03-31,1338.19,2,1,0
T153,8,2023-04-08,187.84,3,2,1
T150,8,2023-04-11,391.95,5,5,0
T155,8,2023-04-18,5092.84,3,1,1
T170,8,2023-04-21,1072.53,3,4,0
T171,8,2023-04-22,1358.22,2,5,1
T173,8,2023-04-22,861.16,6,5,1
T182,8,2023-04-25,144.53,1,1,1
T175,8,2023-04-26,1243.35,2,4,1
T152,8,2023-04-29,328.63,2,1,1
T161,8,2023-04-30,550.23,6,3,1
T160,8,2023-05-02,1563.3,6,1,0
T179,8,2023-05-23,3312.41,1,5,0
T181,8,2023-05-23,500.56,2,4,1
T167,8,2023-05-25,464.17,1,3,1
T172,8,2023-06-07,50.0,5,4,1
T159,8,2023-06-09,325.6,2,2,0
T168,8,2023-06-19,247.72,3,1,1
T209,9,2023-01-01,50.0,4,4,1
T194,9,2023-01-14,1203.2,5,3,0
T201,9,2023-01-22,1232.77,2,1,1
T191,9,2023-01-26,117.27,2,3,0
T200,9,2023-02-08,1816.27,2,5,1
T208,9,2023-02-14,1306.99,5,1,0
T188,9,2023-02-19,972.16,3,1,0
T189,9,2023-02-19,905.14,2,4,1
T206,9,2023-02-23,50.0,6,2,1
T198,9,2023-03-06,2728.92,4,1,0
T210,9,2023-03-16,210.38,1,2,1
T204,9,2023-03-18,2745.88,5,4,1
T187,9,2023-03-20,2039.38,3,2,0
T186,9,2023-04-01,1294.52,6,4,1
T192,9,2023-04-03,2730.15,2,3,0
T199,9,2023-04-13,2617.36,4,1,0
T185,9,2023-04-19,357.99,6,5,1
T197,9,2023-04-23,1553.36,3,2,0
T184,9,2023-05-02,2518.0,5,5,1
T203,9,2023-05-14,211.55,4,4,1
T193,9,2023-05-17,2768.13,2,3,0
T205,9,2023-05-26,1118.99,5,1,0
T196,9,2023-05-27,515.48,3,4,1
T190,9,2023-05-31,332.25,5,5,1
T202,9,2023-06-05,105.47,5,5,0
T195,9,2023-06-13,496.86,4,1,0
T207,9,2023-06-19,128.4,1,2,0
T211,9,2023-06-30,954.84,3,4,0
T221,10,2023-01-07,1286.18,1,2,0
T215,10,2023-01-19,1494.5,1,2,1
T223,10,2023-02-14,118.03,4,5,1
T212,10,2023-03-09,1412.78,6,5,0
T224,10,2023-03-13,550.1,2,5,1
T226,10,2023-03-31,335.64,4,3,1
T228,10,2023-04-16,599.26,6,4,1
T213,10,2023-04-19,1266.53,1,5,0
T220,10,2023-04-21,2270.35,6,3,1
T217,10,2023-04-23,472.36,1,4,1
T219,10,2023-04-23,1258.53,1,5,0
T230,10,2023-04-27,1196.8,1,3,1
T216,10,2023-06-02,324.99,6,5,1
T225,10,2023-06-12,369.79,4,1,1
T214,10,2023-06-15,304.74,2,3,0
T229,10,2023-06-19,2671.27,4,5,0
T227,10,2023-06-21,4334.77,1,2,1
T222,10,2023-06-22,1008.05,3,5,0
T218,10,2023-06-29,1646.83,4,3,1
T237,11,2023-01-08,395.49,6,5,0
T254,11,2023-01-10,457.38,2,5,1
T252,11,2023-01-12,583.55,3,4,1
T233,11,2023-01-14,1032.19,2,5,1
T245,11,2023-01-18,50.0,3,4,1
T255,11,2023-01-26,222.86,4,1,1
T231,11,2023-01-30,1900.59,4,5,0
T240,11,2023-01-30,233.92,4,1,0
T248,11,2023-02-08,4081.01,4,5,1
T238,11,2023-02-10,50.0,3,5,0
T244,11,2023-02-18,554.74,5,5,0
T235,11,2023-02-22,260.66,3,5,0
T236,11,2023-03-15,1538.11,4,4,0
T247,11,2023-03-18,670.73,5,5,1
T249,11,2023-03-30,3976.48,3,5,1
T253,11,2023-04-09,2285.67,6,2,1
T242,11,2023-04-17,3693.07,4,4,0
T243,11,2023-04-27,2956.21,5,2,1
T250,11,2023-04-27,2300.86,3,2,0
T241,11,2023-05-08,3385.3,6,3,1
T246,11,2023-05-10,3162.63,3,1,1
T239,11,2023-05-22,1244.36,4,1,0
T251,11,2023-05-27,418.53,4,2,1
T234,11,2023-06-09,813.95,4,4,0
T232,11,2023-06-18,838.12,5,4,1
T256,12,2023-02-06,976.48,4,2,0
T259,12,2023-03-23,1012.93,6,4,0
T257,12,2023-05-01,3301.55,3,3,1
T260,12,2023-06-08,122.67,1,2,1
T258,12,2023-06-16,1428.99,1,3,1
T263,13,2023-01-12,181.1,3,1,1
T261,13,2023-01-24,1145.44,4,1,0
T275,13,2023-01-28,859.31,2,4,1
T266,13,2023-02-13,1620.04,2,1,1
T265,13,2023-03-04,2518.33,5,4,0
T279,13,2023-03-15,1452.66,2,5,1
T274,13,2023-03-19,2933.54,2,4,1
T264,13,2023-04-02,876.59,3,4,0
T262,13,2023-04-24,5532.68,2,3,0
T272,13,2023-04-24,1993.59,3,5,1
T278,13,2023-05-25,1259.66,6,1,1
T276,13,2023-05-28,835.42,3,3,0
T268,13,2023-05-30,1454.75,2,2,1
T267,13,2023-06-08,1432.89,6,2,1
T269,13,2023-06-13,534.59,3,4,1
T273,13,2023-06-13,2421.54,4,3,1
T277,13,2023-06-18,1921.14,4,3,0
T270,13,2023-06-20,417.07,1,4,1
T271,13,2023-06-23,1988.85,5,2,0
T290,14,2023-01-24,1072.36,4,1,1
T284,14,2023-02-03,118.44,1,3,1
T297,14,2023-02-05,1763.58,1,1,1
T289,14,2023-02-06,405.16,2,4,1
T287,14,2023-02-12,751.93,3,4,1
T288,14,2023-03-28,938.75,1,4,0
T285,14,2023-04-17,1036.1,2,2,0
T283,14,2023-04-23,565.12,1,5,1
T294,14,2023-05-01,535.9,1,5,1
T298,14,2023-05-07,291.74,1,1,0
T291,14,2023-05-18,50.0,1,4,1
T286,14,2023-05-19,50.0,3,5,1
T295,14,2023-06-06,163.07,2,1,1
T282,14,2023-06-10,494.98,6,1,1
T280,14,2023-06-12,1906.34,2,5,1
T293,14,2023-06-13,2075.22,3,1,0
T292,14,2023-06-22,50.0,6,3,1
T281,14,2023-06-23,2648.79,6,2,0
T296,14,2023-06-29,886.38,3,4,0
T315,15,2023-01-04,2169.32,3,2,1
T316,15,2023-01-05,1428.77,2,3,0
T309,15,2023-01-13,1902.78,3,2,0
T306,15,2023-01-16,4468.27,4,3,0
T318,15,2023-01-17,228.37,4,4,1
T335,15,2023-01-22,56.51,1,4,0
T332,15,2023-01-25,1701.82,3,4,1
T305,15,2023-01-26,1553.95,6,3,1
T329,15,2023-01-26,652.85,6,1,0
T307,15,2023-02-01,871.55,4,1,0
T317,15,2023-02-02,631.03,6,4,0
T299,15,2023-02-04,1170.26,4,4,1
T312,15,2023-02-07,98.05,5,1,1
T313,15,2023-02-07,50.0,2,5,1
T314,15,2023-02-14,3944.86,1,1,0
T326,15,2023-03-12,1606.82,5,5,1
T303,15,2023-03-13,933.49,1,3,0
T331,15,2023-03-28,528.02,4,4,1
T336,15,2023-04-06,50.0,2,5,0
T327,15,2023-04-08,969.88,5,5,1
T323,15,2023-04-13,1295.27,4,1,1
T330,15,2023-04-21,341.59,4,2,1
T304,15,2023-04-24,1217.44,4,2,1
T324,15,2023-04-24,394.09,1,1,1
T328,15,2023-04-27,1135.24,5,5,1
T320,15,2023-05-09,345.61,2,5,0
T319,15,2023-05-12,204.14,5,1,1
T310,15,2023-05-25,379.02,2,1,0
T301,15,2023-05-31,63.68,6,2,1
T311,15,2023-05-31,693.58,2,2,1
T337,15,2023-05-31,2321.04,5,5,1
T325,15,2023-06-05,3717.72,2,1,0
T308,15,2023-06-14,468.02,6,5,0
T322,15,2023-06-14,1504.62,1,1,1
T302,15,2023-06-17,909.49,1,4,1
T321,15,2023-06-18,956.15,5,3,1
T333,15,2023-06-20,50.0,3,3,0
T300,15,2023-06-21,107.05,6,5,1
T334,15,2023-06-25,148.06,4,1,0
T340,16,2023-01-27,123.55,5,5,0
T342,16,2023-01-28,769.74,3,5,1
T343,16,2023-01-30,228.23,3,5,0
T349,16,2023-02-06,563.26,6,1,0
T341,16,2023-02-09,811.82,6,4,0
T346,16,2023-02-16,1148.07,3,3,1
T339,16,2023-03-15,771.34,5,3,1
T347,16,2023-03-31,1209.74,1,2,0
T338,16,2023-04-16,1459.49,3,4,0
T344,16,2023-04-20,682.68,5,5,0
T348,16,2023-05-25,55.63,6,4,0
T345,16,2023-06-05,610.0,6,3,0
T361,17,2023-01-02,589.56,2,3,0
T367,17,2023-01-05,3898.91,4,1,1
T353,17,2023-01-14,1289.97,2,2,0
T383,17,2023-01-18,1189.68,4,4,1
T378,17,2023-01-27,50.0,2,3,0
T363,17,2023-01-31,735.55,1,4,1
T362,17,2023-02-05,1236.99,3,3,1
T364,17,2023-02-14,946.58,2,4,0
T379,17,2023-02-14,2021.44,5,2,0
T380,17,2023-02-15,397.3,6,4,1
T350,17,2023-02-25,1179.75,4,4,1
T360,17,2023-02-26,1028.14,4,5,0
T384,17,2023-03-12,2519.3,5,1,1
T387,17,2023-03-15,397.6,1,1,1
T352,17,2023-03-25,2329.62,5,5,0
T375,17,2023-03-27,88.62,2,1,0
T351,17,2023-03-29,839.33,2,3,1
T357,17,2023-03-30,50.0,4,1,1
T377,17,2023-03-31,2236.23,6,2,0
T366,17,2023-04-12,585.51,6,1,1
T374,17,2023-04-12,1378.65,3,3,0
T370,17,2023-04-14,86.26,1,3,0
T356,17,2023-04-17,1234.07,3,2,0
T372,17,2023-04-22,50.0,1,2,1
T386,17,2023-04-26,1952.39,1,1,1
T365,17,2023-05-09,3405.75,5,3,0
T385,17,2023-05-10,1593.95,1,3,1
T359,17,2023-05-15,3380.71,6,3,0
T376,17,2023-05-16,460.99,5,2,1
T381,17,2023-05-25,150.9,5,4,1
T368,17,2023-05-28,2829.09,4,5,1
T373,17,2023-05-31,119.05,4,5,0
T371,17,2023-06-08,127.47,4,3,0
T382,17,2023-06-10,1431.79,3,2,1
T369,17,2023-06-13,261.48,4,3,0
T355,17,2023-06-19,87.82,4,4,1
T354,17,2023-06-22,213.42,1,3,1
T358,17,2023-06-23,1057.62,6,5,1
T406,18,2023-01-05,2710.55,3,3,0
T391,18,2023-01-16,5588.41,4,1,1
T392,18,2023-01-22,638.5,5,2,0
T419,18,2023-02-11,1339.59,2,5,0
T412,18,2023-02-16,3596.37,6,5,0
T417,18,2023-02-19,416.43,3,5,1
T407,18,2023-02-24,591.59,3,4,0
T408,18,2023-02-27,50.0,2,2,0
T393,18,2023-03-05,558.29,6,4,1
T420,18,2023-03-06,1675.01,1,4,1
T399,18,2023-03-14,1667.74,3,5,0
T409,18,2023-03-17,2829.49,1,5,0
T398,18,2023-03-26,672.43,1,5,1
T400,18,2023-03-27,1685.56,1,5,0
T401,18,2023-03-31,130.61,3,4,0
T395,18,2023-04-04,500.08,3,3,1
T396,18,2023-04-15,3204.17,3,5,0
T413,18,2023-04-23,3609.54,1,4,1
T418,18,2023-04-29,478.18,3,4,1
T394,18,2023-05-15,1797.55,5,5,0
T416,18,2023-05-17,714.02,2,3,1
T421,18,2023-05-22,1881.83,1,5,0
T403,18,2023-05-24,844.45,4,3,0
T389,18,2023-05-27,1666.51,6,2,1
T388,18,2023-05-29,234.4,5,1,1
T402,18,2023-06-02,2794.13,6,1,1
T411,18,2023-06-02,461.58,4,2,0
T390,18,2023-06-04,1973.05,4,5,0
T415,18,2023-06-06,1199.08,3,4,0
T397,18,2023-06-11,2345.81,6,3,0
T405,18,2023-06-15,462.88,6,4,1
T410,18,2023-06-19,114.87,3,5,0
T404,18,2023-06-21,2101.6,6,5,0
T414,18,2023-06-23,1022.4,6,2,1
T429,19,2023-01-10,518.63,3,4,0
T441,19,2023-01-18,106.38,5,5,0
T444,19,2023-01-18,555.67,3,2,0
T431,19,2023-01-21,185.17,1,3,0
T422,19,2023-01-22,1870.6,2,3,1
T433,19,2023-01-29,1155.49,3,2,1
T436,19,2023-01-29,1448.65,4,5,0
T434,19,2023-02-01,127.93,1,2,1
T438,19,2023-02-06,2070.22,3,4,0
T432,19,2023-02-08,1720.12,5,5,1
T440,19,2023-02-17,101.82,6,1,1
T424,19,2023-02-26,818.46,4,3,0
T427,19,2023-02-27,699.07,1,3,0
T426,19,2023-03-02,956.95,4,1,1
T443,19,2023-04-06,562.61,3,1,1
T442,19,2023-04-10,5178.55,4,1,1
T425,19,2023-04-17,71.14,1,4,1
T423,19,2023-05-12,114.76,2,4,0
T439,19,2023-06-07,1470.0,3,2,1
T437,19,2023-06-11,90.66,5,5,0
T435,19,2023-06-13,105.43,5,4,0
T428,19,2023-06-16,2623.94,3,2,0
T430,19,2023-06-30,149.41,4,4,0
T462,20,2023-01-11,1257.08,6,3,1
T449,20,2023-01-12,566.43,2,1,1
T457,20,2023-01-21,50.0,4,5,0
T459,20,2023-01-21,69.54,3,3,1
T453,20,2023-02-01,662.44,3,4,1
T467,20,2023-02-02,403.76,1,2,1
T445,20,2023-02-04,2010.69,1,3,1
T466,20,2023-02-06,563.76,5,4,0
T451,20,2023-03-06,1801.49,1,2,1
T463,20,2023-03-12,1644.72,6,1,0
T450,20,2023-03-21,104.63,5,4,1
T452,20,2023-04-02,980.83,1,3,1
T468,20,2023-04-03,2435.4,4,5,0
T470,20,2023-04-06,3963.44,4,1,0
T454,20,2023-04-23,2841.89,4,3,0
T460,20,2023-04-25,151.79,5,4,0
T448,20,2023-04-28,1679.88,1,3,0
T455,20,2023-05-08,141.46,6,4,1
T465,20,2023-05-12,3929.66,6,2,0
T456,20,2023-05-13,814.21,3,1,1
T458,20,2023-05-20,758.83,3,3,0
T469,20,2023-06-04,303.7,2,4,1
T447,20,2023-06-11,5122.53,2,2,0
T446,20,2023-06-14,3530.6,2,4,1
T464,20,2023-06-21,1050.66,6,4,1
T461,20,2023-06-26,150.03,4,3,1
T499,21,2023-01-12,4397.95,6,5,1
T485,21,2023-01-17,1053.39,3,4,1
T476,21,2023-02-01,5948.19,2,1,1
T491,21,2023-02-01,729.81,5,2,1
T487,21,2023-02-02,55.81,3,1,1
T489,21,2023-02-02,3604.8,5,5,0
T495,21,2023-02-02,747.67,6,3,0
T490,21,2023-02-03,2651.61,4,5,0
T482,21,2023-02-05,1427.88,2,4,0
T480,21,2023-02-10,888.53,6,2,1
T492,21,2023-02-12,1161.52,2,3,0
T497,21,2023-02-13,1051.49,6,5,1
T477,21,2023-02-14,91.99,6,4,0
T506,21,2023-02-22,212.97,3,5,0
T472,21,2023-03-05,4203.03,1,1,0
T494,21,2023-03-06,250.08,2,5,1
T474,21,2023-03-09,2661.27,3,4,0
T507,21,2023-03-22,2901.96,6,3,1
T493,21,2023-03-30,389.85,5,3,0
T483,21,2023-04-03,727.35,5,5,1
T471,21,2023-04-04,50.0,4,3,1
T508,21,2023-04-13,2074.79,2,3,0
T505,21,2023-04-23,1385.2,4,4,1
T504,21,2023-04-27,2017.09,1,1,0
T484,21,2023-04-30,1185.21,5,2,0
T488,21,2023-04-30,395.81,6,5,1
T503,21,2023-05-04,444.46,2,4,1
T473,21,2023-05-08,52.94,5,4,0
T496,21,2023-05-09,523.14,6,2,0
T481,21,2023-05-11,1191.15,2,1,0
T486,21,2023-05-15,2777.08,4,4,0
T479,21,2023-05-21,4180.29,5,3,1
T498,21,2023-05-25,97.11,1,1,0
T475,21,2023-06-06,900.17,3,4,0
T501,21,2023-06-08,1437.44,6,1,1
T502,21,2023-06-10,921.69,5,3,1
T500,21,2023-06-16,5140.64,2,5,1
T478,21,2023-06-24,968.53,3,3,0
T511,22,2023-01-13,1140.48,3,4,1
T517,22,2023-01-13,566.82,1,3,1
T515,22,2023-01-24,55.53,4,5,1
T526,22,2023-02-02,758.9,1,4,1
T520,22,2023-02-04,195.61,3,3,1
T530,22,2023-02-05,2400.51,6,3,1
T513,22,2023-02-18,3238.82,2,4,1
T528,22,2023-02-20,383.27,5,5,1
T509,22,2023-03-03,3590.09,4,1,1
T516,22,2023-03-03,50.0,2,5,1
T512,22,2023-03-05,650.04,2,3,1
T532,22,2023-03-25,9806.93,5,3,0
T527,22,2023-03-28,643.0,5,3,0
T521,22,2023-04-04,1082.07,1,4,0
T533,22,2023-04-11,6833.85,5,3,1
T510,22,2023-04-26,1552.32,2,2,0
T514,22,2023-05-08,2412.47,3,4,0
T529,22,2023-05-09,69.63,1,1,0
T524,22,2023-05-10,2215.1,4,5,1
T531,22,2023-05-13,2011.34,4,2,0
T519,22,2023-05-18,5237.13,1,1,1
T523,22,2023-05-22,4204.45,3,1,1
T522,22,2023-05-26,575.37,5,2,1
T518,22,2023-06-02,1996.38,6,4,1
T525,22,2023-06-09,2186.63,6,5,0
T543,23,2023-01-05,311.52,4,3,1
T556,23,2023-01-11,619.98,3,1,1
T539,23,2023-01-14,718.59,5,4,0
T560,23,2023-01-28,1162.08,5,5,0
T541,23,2023-02-07,3696.27,6,2,0
T544,23,2023-02-08,1336.6,4,2,1
T569,23,2023-02-14,2814.07,4,2,0
T550,23,2023-02-19,1775.77,2,3,1
T558,23,2023-02-24,50.0,2,5,1
T551,23,2023-02-27,881.17,3,3,0
T561,23,2023-03-04,1461.2,1,5,0
T538,23,2023-03-09,340.98,6,5,0
T554,23,2023-03-15,987.74,1,5,1
T567,23,2023-03-15,597.58,6,1,0
T548,23,2023-03-22,1336.13,2,4,1
T555,23,2023-04-12,2511.31,3,2,1
T570,23,2023-04-12,513.72,4,2,1
T565,23,2023-04-15,518.02,6,4,1
T563,23,2023-04-16,175.94,3,4,0
T557,23,2023-04-24,172.67,6,3,1
T535,23,2023-05-02,1758.34,1,3,1
T553,23,2023-05-03,963.3,3,5,1
T545,23,2023-05-09,1155.2,5,4,0
T534,23,2023-05-11,972.78,5,4,1
T540,23,2023-05-15,165.96,6,5,1
T549,23,2023-05-20,881.53,3,3,1
T547,23,2023-05-24,144.65,3,4,1
T559,23,2023-05-24,1688.47,6,3,0
T542,23,2023-05-27,1118.22,6,1,0
T562,23,2023-06-13,287.38,2,1,0
T566,23,2023-06-16,1069.68,2,3,1
T568,23,2023-06-16,690.38,5,2,0
T536,23,2023-06-22,3475.41,1,4,1
T564,23,2023-06-24,50.0,2,1,0
T537,23,2023-06-26,2273.73,6,1,1
T552,23,2023-06-26,2294.12,6,4,1
T546,23,2023-06-30,532.1,2,5,0
T571,24,2023-01-03,865.83,3,5,0
T576,24,2023-01-04,3583.43,6,3,1
T573,24,2023-02-04,606.1,5,4,1
T574,24,2023-02-19,1167.71,1,3,0
T572,24,2023-03-27,1837.05,3,4,1
T575,24,2023-04-28,2379.77,6,3,0
T577,24,2023-05-26,190.9,6,2,0
T581,25,2023-01-02,737.5,3,4,0
T605,25,2023-01-09,154.27,3,4,0
T603,25,2023-01-12,233.77,4,3,0
T585,25,2023-01-16,1204.18,6,1,1
T598,25,2023-01-24,226.95,5,4,0
T606,25,2023-02-04,741.16,6,4,1
T580,25,2023-02-05,358.48,4,3,0
T602,25,2023-03-07,391.86,1,2,0
T584,25,2023-03-08,478.34,6,3,0
T586,25,2023-03-20,329.55,2,4,1
T596,25,2023-03-25,770.86,5,4,0
T607,25,2023-04-08,277.31,4,4,1
T579,25,2023-04-13,813.0,6,1,0
T590,25,2023-04-17,197.71,6,5,1
T578,25,2023-04-20,3134.0,5,3,0
T582,25,2023-04-25,4696.38,3,3,1
T599,25,2023-04-27,256.26,2,5,1
T600,25,2023-04-27,50.07,5,1,1
T589,25,2023-05-03,164.42,2,4,1
T593,25,2023-05-16,240.9,6,3,0
T591,25,2023-05-18,179.35,6,2,0
T604,25,2023-05-19,111.46,1,1,1
T594,25,2023-05-25,508.97,1,1,0
T595,25,2023-05-27,2725.17,5,2,0
T583,25,2023-05-30,814.19,6,5,0
T588,25,2023-06-07,165.57,2,2,0
T601,25,2023-06-22,222.06,3,1,1
T592,25,2023-06-24,1228.9,5,1,1
T597,25,2023-06-24,1321.55,2,5,1
T587,25,2023-06-26,94.67,1,3,1
T615,26,2023-02-18,2481.76,6,1,0
T611,26,2023-02-27,50.0,1,1,1
T617,26,2023-03-03,75.63,2,1,0
T614,26,2023-04-28,102.35,3,2,1
T612,26,2023-04-29,1927.79,6,5,1
T613,26,2023-05-17,1186.31,4,2,0
T610,26,2023-05-18,1406.95,4,5,0
T609,26,2023-06-17,840.01,3,1,0
T616,26,2023-06-19,3044.03,4,5,0
T608,26,2023-06-24,543.58,6,5,0
T619,27,2023-01-12,1969.12,4,4,0
T623,27,2023-03-19,555.34,2,5,0
T624,27,2023-04-16,795.2,3,3,0
